2026 BILAN GLOBAL,
Capital Initial,0
Trades,0
Gains,0
Pertes,0
Taux de Réussite,0%
Espérance (EV),0 €
Facteur de Profit,0x
Perte Moyenne,0 €
Gain Moyen,0 €
Profit Total,0 €
ROI,0%
,,
,,
,,
,,
Détail par Jour de Semaine,,,,,,,,Informations Mensuelles
Jour,Trades,Gains,Pertes,% Réussite,P/L Total,P/L Moyen,,Mois,Trades,Gains,Pertes,P/L (€)
Lundi,0,0,0,0%,0 €,0 €,,Janvier,0,0,0,0 €
Mardi,0,0,0,0%,0 €,0 €,,Février,0,0,0,0 €
Mercredi,0,0,0,0%,0 €,0 €,,Mars,0,0,0,0 €
Jeudi,0,0,0,0%,0 €,0 €,,Avril,0,0,0,0 €
Vendredi,0,0,0,0%,0 €,0 €,,Mai,0,0,0,0 €
Samedi,0,0,0,0%,0 €,0 €,,Juin,0,0,0,0 €
Dimanche,0,0,0,0%,0 €,0 €,,Juillet,0,0,0,0 €
,,,,,,,,Août,0,0,0,0 €
,,,,,,,,Septembre,0,0,0,0 €
,,,,,,,,Octobre,0,0,0,0 €
,,,,,,,,Novembre,0,0,0,0 €
,,,,,,,,Décembre,0,0,0,0 €
