MODÈLE TRADING FRANÇAIS — TOUT-EN-UN,,,,,,,,,,,,,
Instructions : Importer dans Google Sheets → Fichier → Importer → Séparateur : Virgule,,,,,,,,,,,,,
,,,,,,,,,,,,,
╔══════════════════════════════╗,,,,,,,,,,,,,
  SECTION 1 — STATISTIQUES GLOBALES,,,,,,,,,,,,,
╚══════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
Indicateur,Valeur,,,,,,,,,,,
Capital Initial,10000 €,,,,,,,,,,,
Nombre de Trades,10,,,,,,,,,,,
Trades Gagnants,7,,,,,,,,,,,
Trades Perdants,3,,,,,,,,,,,
Taux de Réussite,70%,,,,,,,,,,,
Gain Moyen,46.57 €,,,,,,,,,,,
Perte Moyenne,-33.33 €,,,,,,,,,,,
Espérance (EV),23.30 €,,,,,,,,,,,
Facteur de Profit,3.27x,,,,,,,,,,,
Profit Total,172 €,,,,,,,,,,,
ROI,1.72%,,,,,,,,,,,
,,,,,,,,,,,,,
╔══════════════════════════════╗,,,,,,,,,,,,,
  SECTION 2 — PERFORMANCES PAR JOUR,,,,,,,,,,,,,
╚══════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
Jour,Trades,Gains,Pertes,% Réussite,P/L Total,P/L Moyen,,,,,,,
Lundi,1,0,1,0%,-16 €,-16 €,,,,,,,
Mardi,2,2,0,100%,84 €,42 €,,,,,,,
Mercredi,1,0,1,0%,-62 €,-62 €,,,,,,,
Jeudi,1,1,0,100%,28 €,28 €,,,,,,,
Vendredi,1,1,0,100%,58 €,58 €,,,,,,,
Samedi,0,0,0,—,0 €,0 €,,,,,,,
Dimanche,0,0,0,—,0 €,0 €,,,,,,,
TOTAL,6,4,2,67%,92 €,15.33 €,,,,,,,
,,,,,,,,,,,,,
╔══════════════════════════════╗,,,,,,,,,,,,,
  SECTION 3 — PERFORMANCES MENSUELLES,,,,,,,,,,,,,
╚══════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mois,Trades,Gains,Pertes,% Réussite,P/L (€),Résultat,,,,,,,
Janvier,10,7,3,70%,172 €,🟢 Positif,,,,,,,
Février,0,0,0,—,0 €,—,,,,,,,
Mars,0,0,0,—,0 €,—,,,,,,,
Avril,0,0,0,—,0 €,—,,,,,,,
Mai,0,0,0,—,0 €,—,,,,,,,
Juin,0,0,0,—,0 €,—,,,,,,,
Juillet,0,0,0,—,0 €,—,,,,,,,
Août,0,0,0,—,0 €,—,,,,,,,
Septembre,0,0,0,—,0 €,—,,,,,,,
Octobre,0,0,0,—,0 €,—,,,,,,,
Novembre,0,0,0,—,0 €,—,,,,,,,
Décembre,0,0,0,—,0 €,—,,,,,,,
TOTAL ANNUEL,10,7,3,70%,172 €,🟢 Positif,,,,,,,
,,,,,,,,,,,,,
╔══════════════════════════════╗,,,,,,,,,,,,,
  SECTION 4 — JOURNAL DES TRADES,,,,,,,,,,,,,
╚══════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
N°,Date,Actif,Sens,Quantité,Prix Entrée,Prix Sortie,Stop Loss,Take Profit,Durée,Résultat Pts,P/L (€),Commentaires,Équité Cumulée
1,01/01/2026,EUR/USD,ACHAT,1,1.09500,1.09750,1.09300,1.10000,45 min,25,23.00,Setup breakout,23.00
2,01/01/2026,GBP/USD,VENTE,2,1.27300,1.27100,1.27500,1.26800,30 min,20,36.00,Rejet résistance,59.00
3,02/01/2026,EUR/USD,VENTE,1,1.09600,1.09800,1.09750,1.09200,1h15,-20,-22.00,Stop touché,37.00
4,03/01/2026,USD/JPY,ACHAT,1,142.500,142.950,142.200,143.500,2h00,45,43.00,Tendance journalière,80.00
5,06/01/2026,EUR/GBP,ACHAT,1,0.85800,0.85650,0.85600,0.86200,20 min,-15,-16.00,Fausse cassure,64.00
6,07/01/2026,EUR/USD,ACHAT,2,1.09200,1.09550,1.09000,1.09800,1h30,35,66.00,Rebond support,130.00
7,07/01/2026,GBP/USD,VENTE,1,1.27600,1.27400,1.27800,1.27000,45 min,20,18.00,Double top,148.00
8,08/01/2026,USD/JPY,VENTE,1,143.200,143.800,143.500,142.500,2h00,-60,-62.00,Contre tendance,86.00
9,09/01/2026,EUR/USD,ACHAT,1,1.09100,1.09400,1.08900,1.09700,1h00,30,28.00,Gap ouverture,114.00
10,10/01/2026,GBP/JPY,ACHAT,1,180.500,181.100,180.200,181.800,3h00,60,58.00,Momentum fort,172.00
11,——/——/——,——,——,——,——,——,——,——,——,——,——,——,——
12,——/——/——,——,——,——,——,——,——,——,——,——,——,——,——
13,——/——/——,——,——,——,——,——,——,——,——,——,——,——,——
,,,,,,,,,,,,,
╔══════════════════════════════╗,,,,,,,,,,,,,
  SECTION 5 — CALENDRIER JANVIER 2026,,,,,,,,,,,,,
╚══════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
Lun,Mar,Mer,Jeu,Ven,Sam,Dim,TOTAL SEMAINE,,,,,
,,1,2,3,4,5,,,,,,
,,T:2 / P:59€,T:1 / P:-22€,T:1 / P:43€,T:0 / P:0€,T:0 / P:0€,T:4 / P:80€,,,,,
6,7,8,9,10,11,12,,,,,,
T:1 / P:-16€,T:2 / P:84€,T:1 / P:-62€,T:1 / P:28€,T:1 / P:58€,T:0 / P:0€,T:0 / P:0€,T:6 / P:92€,,,,,
13,14,15,16,17,18,19,,,,,,
T:0,T:0,T:0,T:0,T:0,T:0,T:0,T:0 / P:0€,,,,,
20,21,22,23,24,25,26,,,,,,
T:0,T:0,T:0,T:0,T:0,T:0,T:0,T:0 / P:0€,,,,,
27,28,29,30,31,,,,,,,,,
T:0,T:0,T:0,T:0,T:0,,,T:0 / P:0€,,,,,
,,,,,,,,,,,,,
BILAN JANVIER 2026,,,,,,,,,,,,,
Total Trades :,10,,,,,,,,,,,
Total Gains :,7,,,,,,,,,,,
Total Pertes :,3,,,,,,,,,,,
% Réussite :,70%,,,,,,,,,,,
P/L Janvier :,172 €,,,,,,,,,,,
Résultat :,🟢 Mois positif,,,,,,,,,,,
,,,,,,,,,,,,,
╔══════════════════════════════════════════════════════════╗,,,,,,,,,,,,,
  GUIDE D'UTILISATION — APRÈS IMPORT DANS GOOGLE SHEETS,,,,,,,,,,,,,
╚══════════════════════════════════════════════════════════╝,,,,,,,,,,,,,
,,,,,,,,,,,,,
ÉTAPE 1 :,"Importer ce fichier → Fichier → Importer → Télécharger",,,,,,,,,,,
ÉTAPE 2 :,"Séparateur = Virgule → Créer une nouvelle feuille",,,,,,,,,,,
ÉTAPE 3 :,"Copier les lignes de chaque section dans des onglets séparés",,,,,,,,,,,
ÉTAPE 4 :,"Renommer les onglets : Statistiques / Tous les trades / Calendrier",,,,,,,,,,,
ÉTAPE 5 :,"Coller le script .gs via Extensions → Apps Script pour automatiser",,,,,,,,,,,
,,,,,,,,,,,,,
COLONNES TRADES (pour saisie manuelle) :,,,,,,,,,,,,,
Col A : N° du trade,Col B : Date (JJ/MM/AAAA),Col C : Actif (ex: EUR/USD),,Col D : Sens (ACHAT/VENTE),,Col E : Quantité,,,,,
Col F : Prix entrée,Col G : Prix sortie,Col H : Stop Loss,,Col I : Take Profit,,Col J : Durée,,,,,
Col K : Résultat en pts,Col L : P/L en €,Col M : Commentaires,,Col N : Équité cumulée,,,,,,,,
